Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: MEDELLÍN (Código: 5001000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: BOQUERÓN (Código: 5001035), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: EL LLANO 1 (Código: 5001039), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: EL LLANO (Código: 5001040), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: LA VERDE (Código: 5001048), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: MATASANO (Código: 5001052), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: MATASANO 2 (Código: 5001054), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: MAZO (Código: 5001055), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: MAZO 1 (Código: 5001056), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: MEDIA LUNA (Código: 5001057), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: MEDELLÍN (Código: 5001), Centro Poblado: LAS CAMELIAS (Código: 5001066), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: ABEJORRAL (Código: 5002), Centro Poblado: ABEJORRAL (Código: 5002000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: ABEJORRAL (Código: 5002), Centro Poblado: PANTANILLO (Código: 5002002), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: ABEJORRAL (Código: 5002), Centro Poblado: NARANJAL - LAS FONDAS (Código: 5002004), Tipo: CASERÍO (CAS)
Departamento: ANTIOQUIA (Código: 5), Municipio: ABEJORRAL (Código: 5002), Centro Poblado: LAS CANOAS (Código: 5002016), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: ABRIAQUÍ (Código: 5004), Centro Poblado: ABRIAQUÍ (Código: 5004000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: ABRIAQUÍ (Código: 5004), Centro Poblado: POTREROS SECTOR 1 (Código: 5004003), Tipo: CASERÍO (CAS)
Departamento: ANTIOQUIA (Código: 5), Municipio: ALEJANDRÍA (Código: 5021), Centro Poblado: ALEJANDRÍA (Código: 5021000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: AMAGÁ (Código: 5030), Centro Poblado: AMAGÁ (Código: 5030000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: AMAGÁ (Código: 5030), Centro Poblado: CAMILO C (Código: 5030001), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: AMAGÁ (Código: 5030), Centro Poblado: LA CLARITA (Código: 5030003), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: AMAGÁ (Código: 5030), Centro Poblado: LA FERREIRA (Código: 5030004), Tipo: CASERÍO (CAS)
Departamento: ANTIOQUIA (Código: 5), Municipio: AMAGÁ (Código: 5030), Centro Poblado: LA GUALÍ (Código: 5030005), Tipo: CASERÍO (CAS)
Departamento: ANTIOQUIA (Código: 5), Municipio: AMAGÁ (Código: 5030), Centro Poblado: PIEDECUESTA (Código: 5030006), Tipo: CASERÍO (CAS)
Departamento: ANTIOQUIA (Código: 5), Municipio: AMAGÁ (Código: 5030), Centro Poblado: MINAS (Código: 5030011), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: AMAGÁ (Código: 5030), Centro Poblado: CAMILO C - ALTO DE LA VIRGEN (Código: 5030012), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: AMAGÁ (Código: 5030), Centro Poblado: PIEDECUESTA - MANI DE LAS CASAS (Código: 5030013), Tipo: CASERÍO (CAS)
Departamento: ANTIOQUIA (Código: 5), Municipio: AMALFI (Código: 5031), Centro Poblado: AMALFI (Código: 5031000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: AMALFI (Código: 5031), Centro Poblado: PORTACHUELO (Código: 5031004), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANDES (Código: 5034), Centro Poblado: ANDES (Código: 5034000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANDES (Código: 5034), Centro Poblado: BUENOS AIRES (Código: 5034001), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANDES (Código: 5034), Centro Poblado: SAN JOSÉ (Código: 5034003), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANDES (Código: 5034), Centro Poblado: SANTA RITA (Código: 5034006), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANDES (Código: 5034), Centro Poblado: TAPARTÓ (Código: 5034007), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANDES (Código: 5034), Centro Poblado: SANTA INÉS (Código: 5034012), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANDES (Código: 5034), Centro Poblado: SAN BARTOLO (Código: 5034014), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANDES (Código: 5034), Centro Poblado: LA CHAPARRALA - LA UNIÓN (Código: 5034015), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANGELÓPOLIS (Código: 5036), Centro Poblado: ANGELÓPOLIS (Código: 5036000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANGELÓPOLIS (Código: 5036), Centro Poblado: LA ESTACIÓN (Código: 5036001), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANGELÓPOLIS (Código: 5036), Centro Poblado: SANTA RITA (Código: 5036006), Tipo: CASERÍO (CAS)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANGELÓPOLIS (Código: 5036), Centro Poblado: CIENAGUITA (Código: 5036011), Tipo: CASERÍO (CAS)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANGOSTURA (Código: 5038), Centro Poblado: ANGOSTURA (Código: 5038000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANGOSTURA (Código: 5038), Centro Poblado: LLANOS DE CUIBA (Código: 5038008), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANORÍ (Código: 5040), Centro Poblado: ANORÍ (Código: 5040000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANORÍ (Código: 5040), Centro Poblado: LIBERIA (Código: 5040002), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANORÍ (Código: 5040), Centro Poblado: MONTEFRÍO (Código: 5040003), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANORÍ (Código: 5040), Centro Poblado: SANTO DOMINGO (Código: 5040004), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANORÍ (Código: 5040), Centro Poblado: CRISTALINAS (Código: 5040005), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANORÍ (Código: 5040), Centro Poblado: LAS NIEVES (Código: 5040006), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: ANTIOQUIA (Código: 5), Municipio: SANTA FÉ DE ANTIOQUIA (Código: 5042), Centro Poblado: SANTA FÉ DE ANTIOQUIA (Código: 5042000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: SANTA FÉ DE ANTIOQUIA (Código: 5042), Centro Poblado: LAURELES (Código: 5042002), Tipo: CASERÍO (CAS)
Departamento: ANTIOQUIA (Código: 5), Municipio: SANTA FÉ DE ANTIOQUIA (Código: 5042), Centro Poblado: EL PESCADO (Código: 5042006), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: ANTIOQUIA (Código: 5), Municipio: SANTA FÉ DE ANTIOQUIA (Código: 5042), Centro Poblado: SABANAS (Código: 5042007), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: SANTA FÉ DE ANTIOQUIA (Código: 5042), Centro Poblado: KILOMETRO 2 (Código: 5042008), Tipo: CASERÍO (CAS)
Departamento: ANTIOQUIA (Código: 5), Municipio: SANTA FÉ DE ANTIOQUIA (Código: 5042), Centro Poblado: PASO REAL (Código: 5042009), Tipo: CASERÍO (CAS)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANZÁ (Código: 5044), Centro Poblado: ANZÁ (Código: 5044000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANZÁ (Código: 5044), Centro Poblado: GUINTAR (Código: 5044001), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANZÁ (Código: 5044), Centro Poblado: LA CEJITA (Código: 5044005), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: ANTIOQUIA (Código: 5), Municipio: ANZÁ (Código: 5044), Centro Poblado: LA HIGUINA (Código: 5044006), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: ANTIOQUIA (Código: 5), Municipio: APARTADÓ (Código: 5045), Centro Poblado: APARTADÓ (Código: 5045000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: APARTADÓ (Código: 5045), Centro Poblado: SAN JOSÉ DE APARTADÓ (Código: 5045001), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: APARTADÓ (Código: 5045), Centro Poblado: CHURIDÓ (Código: 5045002), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: APARTADÓ (Código: 5045), Centro Poblado: ZUNGO CARRETERA (Código: 5045003), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: APARTADÓ (Código: 5045), Centro Poblado: LOS NARANJALES (Código: 5045007), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: APARTADÓ (Código: 5045), Centro Poblado: VIJAGUAL (Código: 5045008), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: APARTADÓ (Código: 5045), Centro Poblado: EL REPOSO (Código: 5045009), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: APARTADÓ (Código: 5045), Centro Poblado: BAJO DEL OSO (Código: 5045010), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: APARTADÓ (Código: 5045), Centro Poblado: EL SALVADOR (Código: 5045011), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: APARTADÓ (Código: 5045), Centro Poblado: PUERTO GIRÓN (Código: 5045014), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: APARTADÓ (Código: 5045), Centro Poblado: LOMA VERDE (Código: 5045015), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: APARTADÓ (Código: 5045), Centro Poblado: SAN PABLO (Código: 5045016), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: ARBOLETES (Código: 5051), Centro Poblado: ARBOLETES (Código: 5051000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: ARBOLETES (Código: 5051), Centro Poblado: BUENOS AIRES (Código: 5051001), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: ARBOLETES (Código: 5051), Centro Poblado: EL CARMELO (Código: 5051003), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: ARBOLETES (Código: 5051), Centro Poblado: LAS NARANJITAS (Código: 5051005), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: ARBOLETES (Código: 5051), Centro Poblado: EL YESO (Código: 5051008), Tipo: CASERÍO (CAS)
Departamento: ANTIOQUIA (Código: 5), Municipio: ARBOLETES (Código: 5051), Centro Poblado: LA TRINIDAD (Código: 5051009), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: ARBOLETES (Código: 5051), Centro Poblado: LAS PLATAS (SANTAFÉ) (Código: 5051010), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: ANTIOQUIA (Código: 5), Municipio: ARBOLETES (Código: 5051), Centro Poblado: LA CANDELARIA (Código: 5051011), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: ARBOLETES (Código: 5051), Centro Poblado: EL GUADUAL (Código: 5051014), Tipo: CASERÍO (CAS)
Departamento: ANTIOQUIA (Código: 5), Municipio: ARGELIA (Código: 5055), Centro Poblado: ARGELIA (Código: 5055000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: ARMENIA (Código: 5059), Centro Poblado: ARMENIA (Código: 5059000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: ARMENIA (Código: 5059), Centro Poblado: LA HERRADURA (Código: 5059001), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: ARMENIA (Código: 5059), Centro Poblado: EL SOCORRO (Código: 5059003), Tipo: CASERÍO (CAS)
Departamento: ANTIOQUIA (Código: 5), Municipio: ARMENIA (Código: 5059), Centro Poblado: FILO SECO (Código: 5059006), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: ARMENIA (Código: 5059), Centro Poblado: PALMICHAL (Código: 5059009), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: BARBOSA (Código: 5079), Centro Poblado: BARBOSA (Código: 5079000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: BARBOSA (Código: 5079), Centro Poblado: HATILLO (Código: 5079001), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: BARBOSA (Código: 5079), Centro Poblado: PLATANITO (Código: 5079005), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: BARBOSA (Código: 5079), Centro Poblado: ISAZA (Código: 5079008), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: BARBOSA (Código: 5079), Centro Poblado: POPALITO (Código: 5079014), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: BARBOSA (Código: 5079), Centro Poblado: YARUMITO (Código: 5079016), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: BARBOSA (Código: 5079), Centro Poblado: TABLAZO - HATILLO (Código: 5079017), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: BARBOSA (Código: 5079), Centro Poblado: EL PARAISO (Código: 5079018), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: BARBOSA (Código: 5079), Centro Poblado: EL SALADITO (Código: 5079019), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: BARBOSA (Código: 5079), Centro Poblado: LOMITA 1 (Código: 5079020), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: BARBOSA (Código: 5079), Centro Poblado: LOMITA 2 (Código: 5079021), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: BARBOSA (Código: 5079), Centro Poblado: LA PRIMAVERA (Código: 5079022), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: BARBOSA (Código: 5079), Centro Poblado: TAMBORCITO (Código: 5079023), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: BELMIRA (Código: 5086), Centro Poblado: BELMIRA (Código: 5086000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: BELMIRA (Código: 5086), Centro Poblado: LABORES (Código: 5086001), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: BELMIRA (Código: 5086), Centro Poblado: RÍO ARRIBA (Código: 5086003), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: BELLO (Código: 5088), Centro Poblado: BELLO (Código: 5088000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: BELLO (Código: 5088), Centro Poblado: POTRERITO (Código: 5088008), Tipo: CASERÍO (CAS)
Departamento: ANTIOQUIA (Código: 5), Municipio: BELLO (Código: 5088), Centro Poblado: SAN FÉLIX (Código: 5088013), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: BELLO (Código: 5088), Centro Poblado: EL PINAR (Código: 5088018), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: BELLO (Código: 5088), Centro Poblado: EL ALBERGUE (Código: 5088020), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: BELLO (Código: 5088), Centro Poblado: LA CHINA (Código: 5088022), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: BELLO (Código: 5088), Centro Poblado: LA UNIÓN (Código: 5088023), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: BETANIA (Código: 5091), Centro Poblado: BETANIA (Código: 5091000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: BETANIA (Código: 5091), Centro Poblado: SAN LUIS (Código: 5091003), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: BETULIA (Código: 5093), Centro Poblado: BETULIA (Código: 5093000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: BETULIA (Código: 5093), Centro Poblado: ALTAMIRA (Código: 5093001), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: CIUDAD BOLÍVAR (Código: 5101), Centro Poblado: CIUDAD BOLÍVAR (Código: 5101000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: CIUDAD BOLÍVAR (Código: 5101), Centro Poblado: SAN BERNARDO DE LOS FARALLONES (Código: 5101002), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: CIUDAD BOLÍVAR (Código: 5101), Centro Poblado: ALFONSO LÓPEZ (SAN GREGORIO) (Código: 5101006), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: CIUDAD BOLÍVAR (Código: 5101), Centro Poblado: VILLA ALEGRÍA (Código: 5101008), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: CIUDAD BOLÍVAR (Código: 5101), Centro Poblado: EL CABRERO - BOLÍVAR ARRIBA (Código: 5101010), Tipo: CENTRO POBLADO (CP)
Departamento: ANTIOQUIA (Código: 5), Municipio: BRICEÑO (Código: 5107), Centro Poblado: BRICEÑO (Código: 5107000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: BRICEÑO (Código: 5107), Centro Poblado: BERLÍN (PUEBLO NUEVO) (Código: 5107001), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: BRICEÑO (Código: 5107), Centro Poblado: EL ROBLAL (Código: 5107002), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: ANTIOQUIA (Código: 5), Municipio: BRICEÑO (Código: 5107), Centro Poblado: LAS AURAS (Código: 5107003), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: BRICEÑO (Código: 5107), Centro Poblado: TRAVESIAS (Código: 5107004), Tipo: CASERÍO (CAS)
Departamento: ANTIOQUIA (Código: 5), Municipio: BURITICÁ (Código: 5113), Centro Poblado: BURITICÁ (Código: 5113000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: BURITICÁ (Código: 5113), Centro Poblado: EL NARANJO (Código: 5113001), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: ANTIOQUIA (Código: 5), Municipio: BURITICÁ (Código: 5113), Centro Poblado: GUARCO (Código: 5113002), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: ANTIOQUIA (Código: 5), Municipio: BURITICÁ (Código: 5113), Centro Poblado: TABACAL (Código: 5113003), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: BURITICÁ (Código: 5113), Centro Poblado: URARCO (Código: 5113004), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: BURITICÁ (Código: 5113), Centro Poblado: LA ANGELINA (Código: 5113005), Tipo: CABECERA INSPECCIÓN DE POLICÍA (IP)
Departamento: ANTIOQUIA (Código: 5), Municipio: BURITICÁ (Código: 5113), Centro Poblado: LA MARIELA (Código: 5113008), Tipo: CASERÍO (CAS)
Departamento: ANTIOQUIA (Código: 5), Municipio: CÁCERES (Código: 5120), Centro Poblado: CÁCERES (Código: 5120000), Tipo: CABECERA MUNICIPAL (CM)
Departamento: ANTIOQUIA (Código: 5), Municipio: CÁCERES (Código: 5120), Centro Poblado: EL JARDÍN (TAMANÁ) (Código: 5120002), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
Departamento: ANTIOQUIA (Código: 5), Municipio: CÁCERES (Código: 5120), Centro Poblado: GUARUMO (Código: 5120003), Tipo: CABECERA CORREGIMIENTO MUNICIPAL (C)
